FQ:6215.722, am:0.486, pw:2.805, ps:6273.425 
FQ:6355.140, am:0.479, pw:2.775, ps:7018.133 
FQ:5871.560, am:0.483, pw:2.785, ps:6764.375 
FQ:6355.140, am:0.482, pw:2.780, ps:7269.913 
FQ:5981.308, am:0.490, pw:2.775, ps:7707.103 
FQ:6015.038, am:0.481, pw:2.765, ps:8005.286 
FQ:6037.736, am:0.475, pw:2.725, ps:8412.371 
FQ:5947.955, am:0.490, pw:2.740, ps:7171.726 
FQ:5925.926, am:0.517, pw:2.780, ps:6284.335 
FQ:6037.736, am:0.490, pw:2.755, ps:8067.890 
FQ:5981.308, am:0.474, pw:2.730, ps:7505.819 
FQ:5970.149, am:0.486, pw:2.765, ps:6789.789 
FQ:6026.365, am:0.483, pw:2.760, ps:8124.494 
FQ:5970.149, am:0.478, pw:2.735, ps:6986.696 
FQ:6037.736, am:0.484, pw:2.750, ps:8232.164 
FQ:6037.736, am:0.482, pw:2.755, ps:7950.481 
FQ:5992.509, am:0.483, pw:2.730, ps:7089.523 
FQ:5981.308, am:0.480, pw:2.725, ps:7697.757 
FQ:6049.149, am:0.479, pw:2.750, ps:7316.487 
FQ:6026.365, am:0.496, pw:2.760, ps:8065.078 
FQ:5981.308, am:0.494, pw:2.760, ps:6611.469 
FQ:6037.736, am:0.494, pw:2.760, ps:7901.783 
FQ:6037.736, am:0.474, pw:2.745, ps:8095.782 
FQ:5992.509, am:0.494, pw:2.720, ps:7400.222 
FQ:6095.238, am:0.480, pw:2.750, ps:7482.545 
FQ:6037.736, am:0.492, pw:2.750, ps:8280.117 
FQ:5981.308, am:0.490, pw:2.760, ps:6871.596 
FQ:6037.736, am:0.483, pw:2.750, ps:7754.018 
FQ:6049.149, am:0.461, pw:2.740, ps:8499.561 
FQ:5671.078, am:0.488, pw:2.745, ps:8013.799 
FQ:6037.736, am:0.479, pw:2.745, ps:8504.420 
FQ:6037.736, am:0.489, pw:2.745, ps:8266.258 
FQ:5947.955, am:0.478, pw:2.735, ps:7416.226 
FQ:6037.736, am:0.503, pw:2.750, ps:8254.390 
